Model,Dataset,Bi_Acc,Bi_F1,Bi_Cov,Uni_Acc,Uni_F1,Uni_Cov,Ver_Acc,Ver_F1,Ver_Cov,F1_Diff,Acc_Diff,Cov_Diff,Winner,TT_Rate,FF_Rate
gpt-4.1-mini-2025-04-14,mmlupro,0.7800546448087432,0.7792930380635797,0.732,0.902,0.6745310590360806,1.0,0.0,0.0,1.0,-0.10476197902749917,0.12194535519125682,0.268,Bilateral,0.237,0.031
gpt-4.1-2025-04-14,simpleqa,0.8327402135231317,0.8216740254654946,0.843,0.878,0.8228381902775921,1.0,0.0,0.0,1.0,0.001164164812097468,0.04525978647686835,0.15700000000000003,Unilateral,0.109,0.048
claude-3-5-haiku-20241022,factscore,0.6240875912408759,0.5470492882019676,0.274,0.533,0.5320524061223979,1.0,0.0,0.0,1.0,-0.014996882079569729,-0.09108759124087584,0.726,Bilateral,0.014,0.712
gemini-2.5-flash,factscore,0.6145833333333334,0.6013356154774264,0.384,0.503,0.5012638996346281,1.0,0.0,0.0,1.0,-0.10007171584279828,-0.11158333333333337,0.616,Bilateral,0.059,0.557
claude-opus-4-1-20250805,mmlupro,0.8979591836734694,0.8960347022490452,0.147,0.72,0.49919871794871795,1.0,0.0,0.0,0.162,-0.3968359843003273,-0.1779591836734694,0.853,Bilateral,0.006,0.005
gpt-4.1-mini-2025-04-14,simpleqa,0.8199737187910644,0.8018760178708184,0.761,0.864,0.7706406546185551,1.0,0.0,0.0,1.0,-0.031235363252263282,0.04402628120893559,0.239,Bilateral,0.178,0.061
gemini-2.5-flash,mmlupro,0.7433290978398983,0.7088004278952537,0.787,0.786,0.6097852724938733,1.0,0.0,0.0,1.0,-0.0990151554013804,0.04267090216010172,0.21299999999999997,Bilateral,0.201,0.012
claude-3-5-haiku-20241022,simpleqa,0.8336079077429983,0.7947903452015543,0.607,0.815,0.686568104498299,1.0,0.0,0.0,1.0,-0.10822224070325537,-0.018607907742998364,0.393,Bilateral,0.03,0.363
gemini-2.5-flash,truthfulqa,0.8211382113821138,0.8087257019438445,0.738,0.75,0.7452888628064684,1.0,0.0,0.0,1.0,-0.06343683913737608,-0.07113821138211385,0.262,Bilateral,0.072,0.19
llama-4-maverick,mmlupro,0.8559782608695652,0.8513403303378837,0.368,0.547,0.4326145198077654,1.0,0.0,0.0,0.536,-0.4187258105301183,-0.30897826086956515,0.632,Bilateral,0.072,0.03
llama-4-maverick,simpleqa,0.8822314049586777,0.842540537763902,0.484,0.427,0.4232157183279497,1.0,0.0,0.0,0.731,-0.41932481943595235,-0.4552314049586777,0.516,Bilateral,0.054,0.115
llama-4-maverick,factscore,0.6330275229357798,0.494902687673772,0.218,0.566,0.45943522190557795,1.0,0.0,0.0,0.479,-0.03546746576819404,-0.06702752293577985,0.782,Bilateral,0.008,0.172
llama-4-scout,mmlupro,0.7494780793319415,0.7466055369423382,0.479,0.727,0.49600403196774423,1.0,0.0,0.0,0.76,-0.250601504974594,-0.02247807933194157,0.521,Bilateral,0.034,0.133
gpt-4.1-mini-2025-04-14,factscore,0.6211340206185567,0.5706898498362877,0.388,0.499,0.49798341641824695,1.0,0.0,0.0,1.0,-0.07270643341804073,-0.12213402061855672,0.612,Bilateral,0.043,0.569
claude-opus-4-1-20250805,factscore,0.6451612903225806,0.5163120567375886,0.248,0.458,0.4398511781727986,1.0,0.0,0.0,0.852,-0.07646087856479,-0.1871612903225806,0.752,Bilateral,0.011,0.471
claude-3-5-haiku-20241022,mmlupro,0.6952380952380952,0.687314827476184,0.735,0.889,0.6072061742942981,1.0,0.0,0.0,1.0,-0.08010865318188587,0.1937619047619048,0.265,Bilateral,0.085,0.18
gpt-4.1-mini-2025-04-14,truthfulqa,0.8658536585365854,0.8653530377668308,0.738,0.724,0.7203658749103347,1.0,0.0,0.0,1.0,-0.14498716285649615,-0.14185365853658538,0.262,Bilateral,0.078,0.184
gemini-2.5-flash,simpleqa,0.6947791164658634,0.5337487133439915,0.747,0.873,0.7965496747197751,1.0,0.0,0.0,1.0,0.26280096137578357,0.17822088353413656,0.253,Unilateral,0.245,0.008
llama-4-scout,factscore,0.6121794871794872,0.4218948593479626,0.312,0.575,0.4470746345163334,1.0,0.0,0.0,0.993,0.025179775168370777,-0.03717948717948727,0.688,Unilateral,0.007,0.665
llama-4-scout,truthfulqa,0.7587719298245614,0.7577232944995074,0.684,0.697,0.6954648382496162,1.0,0.0,0.0,0.998,-0.062258456249891125,-0.06177192982456148,0.31599999999999995,Bilateral,0.052,0.258
gpt-4.1-2025-04-14,truthfulqa,0.8658854166666666,0.8624715959964045,0.768,0.836,0.8356212714093272,1.0,0.0,0.0,1.0,-0.026850324587077368,-0.029885416666666664,0.23199999999999998,Bilateral,0.036,0.196
llama-4-scout,simpleqa,0.9,0.8976203119540185,0.61,0.766,0.712310173892517,1.0,0.0,0.0,1.0,-0.18531013806150143,-0.134,0.39,Bilateral,0.013,0.375
gpt-4.1-2025-04-14,mmlupro,0.7793017456359103,0.7685312461783049,0.802,0.696,0.5627761413843888,1.0,0.0,0.0,1.0,-0.20575510479391612,-0.08330174563591031,0.19799999999999995,Bilateral,0.176,0.022
gpt-4.1-2025-04-14,factscore,0.6590330788804071,0.6294748395812226,0.393,0.509,0.5026493292856484,1.0,0.0,0.0,1.0,-0.1268255102955742,-0.15003307888040707,0.607,Bilateral,0.013,0.594
