Model,Dataset,Method,F1,F1_Lower,F1_Upper
gemini-2.5-flash,truthfulqa,Bilateral,0.8093713336114373,0.7769822162828657,0.846124736169952
gemini-2.5-flash,factscore,Bilateral,0.5993125359916595,0.5389798141873101,0.6589819546668053
gemini-2.5-flash,mmlupro,Bilateral,0.70799635801222,0.6613807258763741,0.7516037478957487
gemini-2.5-flash,simpleqa,Bilateral,0.5331176851465586,0.48891169416469016,0.5728625059355398
claude-3-5-haiku-20241022,simpleqa,Bilateral,0.7954127160686988,0.7443139776786142,0.8380620687095546
claude-3-5-haiku-20241022,factscore,Bilateral,0.538333355470838,0.4486544476497258,0.610580266754508
claude-3-5-haiku-20241022,truthfulqa,Bilateral,0.7627789197451933,0.7242884246687453,0.802954138897544
claude-3-5-haiku-20241022,mmlupro,Bilateral,0.6870426886126603,0.6418431937468827,0.7277733595399766
claude-opus-4-1-20250805,simpleqa,Bilateral,0.9428569240508199,0.9100288922990352,0.9710368691534569
claude-opus-4-1-20250805,factscore,Bilateral,0.5168854134624885,0.44387009356706936,0.5792492888783011
claude-opus-4-1-20250805,mmlupro,Bilateral,0.8953608707308419,0.8235979990082157,0.9588690683463605
claude-opus-4-1-20250805,truthfulqa,Bilateral,0.8963101010806007,0.8662466427551666,0.9236773381600429
llama-4-maverick,simpleqa,Bilateral,0.8414772754997114,0.7960009339477001,0.8899177084200016
llama-4-maverick,truthfulqa,Bilateral,0.807265257251489,0.7720295647837795,0.8418570229008479
llama-4-maverick,factscore,Bilateral,0.49060298628291776,0.41377177495316536,0.5650349017919083
llama-4-maverick,mmlupro,Bilateral,0.8483645535605592,0.8077458460500482,0.8857196613020987
llama-4-scout,simpleqa,Bilateral,0.8979007758991844,0.8660597027179846,0.9240112920357693
llama-4-scout,factscore,Bilateral,0.41957550321624915,0.3743702820772724,0.48048281199248094
llama-4-scout,truthfulqa,Bilateral,0.7550129908033202,0.7111523469121128,0.793818727365239
llama-4-scout,mmlupro,Bilateral,0.7464754527538084,0.7006478176996486,0.7937761329455342
gpt-4.1-mini-2025-04-14,simpleqa,Bilateral,0.8006009387172804,0.7549823118919997,0.8315602351985415
gpt-4.1-mini-2025-04-14,mmlupro,Bilateral,0.7793165371372287,0.7404093543984661,0.816363787747223
gpt-4.1-mini-2025-04-14,factscore,Bilateral,0.5666087616688195,0.4977739672168416,0.6344037101280907
gpt-4.1-mini-2025-04-14,truthfulqa,Bilateral,0.864156274965155,0.8304833192729504,0.8958372564254977
gpt-4.1-2025-04-14,simpleqa,Bilateral,0.8221017818294633,0.7921404529136331,0.8501398505382934
gpt-4.1-2025-04-14,factscore,Bilateral,0.6291178692737283,0.567877751142561,0.6877463791685174
gpt-4.1-2025-04-14,mmlupro,Bilateral,0.7695941739093403,0.7354936808292877,0.8054369983400681
gpt-4.1-2025-04-14,truthfulqa,Bilateral,0.8611280137904049,0.8353053855296153,0.8876177722564916
