Model,Dataset,Approach,Accuracy,Coverage,F1-Macro
gpt-4.1-2025-04-14,truthfulqa,Bilateral,0.8658854166666666,0.768,0.8624715959964045
gpt-4.1-2025-04-14,truthfulqa,Unilateral-Forced,0.836,1.0,0.8356212714093272
gpt-4.1-2025-04-14,truthfulqa,Unilateral-Uncertain,0.714,0.807,0.8846563481195624
gpt-4.1-2025-04-14,truthfulqa,Confidence-0.5,0.81,1.0,0.8080024575685432
gpt-4.1-2025-04-14,truthfulqa,Confidence-0.7,0.768,0.892,0.8600231843561279
gpt-4.1-2025-04-14,truthfulqa,Confidence-0.9,0.532,0.585,0.8903211656626187
gpt-4.1-2025-04-14,simpleqa,Bilateral,0.8327402135231317,0.843,0.8216740254654946
gpt-4.1-2025-04-14,simpleqa,Unilateral-Forced,0.878,1.0,0.8228381902775921
gpt-4.1-2025-04-14,simpleqa,Unilateral-Uncertain,0.824,0.93,0.8305824608679513
gpt-4.1-2025-04-14,simpleqa,Confidence-0.5,0.835,1.0,0.787961072223029
gpt-4.1-2025-04-14,simpleqa,Confidence-0.7,0.832,0.994,0.789053657514148
gpt-4.1-2025-04-14,simpleqa,Confidence-0.9,0.713,0.831,0.8212029932607869
gpt-4.1-2025-04-14,factscore,Bilateral,0.6590330788804071,0.393,0.6294748395812226
gpt-4.1-2025-04-14,factscore,Unilateral-Forced,0.509,1.0,0.5026493292856484
gpt-4.1-2025-04-14,factscore,Unilateral-Uncertain,0.155,0.27,0.5272173582032738
gpt-4.1-2025-04-14,factscore,Confidence-0.5,0.58,1.0,0.4556172522669653
gpt-4.1-2025-04-14,factscore,Confidence-0.7,0.285,0.499,0.5045009094621181
gpt-4.1-2025-04-14,factscore,Confidence-0.9,0.151,0.265,0.4306874717322478
gpt-4.1-2025-04-14,mmlupro,Bilateral,0.7793017456359103,0.802,0.7685312461783049
gpt-4.1-2025-04-14,mmlupro,Unilateral-Forced,0.696,1.0,0.5627761413843888
gpt-4.1-2025-04-14,mmlupro,Unilateral-Uncertain,0.611,0.969,0.5340344938749194
gpt-4.1-2025-04-14,mmlupro,Confidence-0.5,0.492,1.0,0.44175824175824174
gpt-4.1-2025-04-14,mmlupro,Confidence-0.7,0.491,0.99,0.4446199489825171
gpt-4.1-2025-04-14,mmlupro,Confidence-0.9,0.381,0.85,0.41758281894882937
gpt-4.1-mini-2025-04-14,truthfulqa,Bilateral,0.9285714285714286,0.7,0.9282051282051282
gpt-4.1-mini-2025-04-14,truthfulqa,Unilateral-Forced,0.724,1.0,0.7203658749103347
gpt-4.1-mini-2025-04-14,truthfulqa,Unilateral-Uncertain,0.472,0.553,0.8534322820037106
gpt-4.1-mini-2025-04-14,truthfulqa,Confidence-0.5,0.774,1.0,0.7701149425287356
gpt-4.1-mini-2025-04-14,truthfulqa,Confidence-0.7,0.692,0.849,0.8144329466337927
gpt-4.1-mini-2025-04-14,truthfulqa,Confidence-0.9,0.409,0.463,0.8644437215354588
gpt-4.1-mini-2025-04-14,simpleqa,Bilateral,0.8199737187910644,0.761,0.8018760178708184
gpt-4.1-mini-2025-04-14,simpleqa,Unilateral-Forced,0.864,1.0,0.7706406546185551
gpt-4.1-mini-2025-04-14,simpleqa,Unilateral-Uncertain,0.621,0.695,0.8160744428232197
gpt-4.1-mini-2025-04-14,simpleqa,Confidence-0.5,0.831,1.0,0.7646367397871147
gpt-4.1-mini-2025-04-14,simpleqa,Confidence-0.7,0.826,0.975,0.780991031599704
gpt-4.1-mini-2025-04-14,simpleqa,Confidence-0.9,0.584,0.631,0.8692170308469122
gpt-4.1-mini-2025-04-14,factscore,Bilateral,0.6211340206185567,0.388,0.5706898498362877
gpt-4.1-mini-2025-04-14,factscore,Unilateral-Forced,0.499,1.0,0.49798341641824695
gpt-4.1-mini-2025-04-14,factscore,Unilateral-Uncertain,0.125,0.228,0.4997337196174083
gpt-4.1-mini-2025-04-14,factscore,Confidence-0.5,0.579,1.0,0.44669257529778056
gpt-4.1-mini-2025-04-14,factscore,Confidence-0.7,0.219,0.386,0.5129613539344944
gpt-4.1-mini-2025-04-14,factscore,Confidence-0.9,0.109,0.187,0.41109496124031
gpt-4.1-mini-2025-04-14,mmlupro,Bilateral,0.7800546448087432,0.732,0.7792930380635797
gpt-4.1-mini-2025-04-14,mmlupro,Unilateral-Forced,0.902,1.0,0.6745310590360806
gpt-4.1-mini-2025-04-14,mmlupro,Unilateral-Uncertain,0.227,0.254,0.8192742509289273
gpt-4.1-mini-2025-04-14,mmlupro,Confidence-0.5,0.432,1.0,0.39666636924867965
gpt-4.1-mini-2025-04-14,mmlupro,Confidence-0.7,0.404,0.722,0.48794783043105905
gpt-4.1-mini-2025-04-14,mmlupro,Confidence-0.9,0.288,0.534,0.4900465838509317
claude-opus-4-1-20250805,truthfulqa,Bilateral,0.8980716253443526,0.726,0.896551724137931
claude-opus-4-1-20250805,truthfulqa,Unilateral-Forced,0.602,1.0,0.5609965074067065
claude-opus-4-1-20250805,truthfulqa,Unilateral-Uncertain,0.169,0.219,0.7214590964590966
claude-opus-4-1-20250805,truthfulqa,Confidence-0.5,0.627,1.0,0.568206575530857
claude-opus-4-1-20250805,truthfulqa,Confidence-0.7,0.252,0.267,0.9437918403435646
claude-opus-4-1-20250805,truthfulqa,Confidence-0.9,0.198,0.208,0.9502630320420851
claude-opus-4-1-20250805,simpleqa,Bilateral,0.9551569506726457,0.446,0.9429959100204499
claude-opus-4-1-20250805,simpleqa,Unilateral-Forced,0.527,1.0,0.46225006849774497
claude-opus-4-1-20250805,simpleqa,Unilateral-Uncertain,0.065,0.323,0.19784768211920528
claude-opus-4-1-20250805,simpleqa,Confidence-0.5,0.294,1.0,0.28597724027169275
claude-opus-4-1-20250805,simpleqa,Confidence-0.7,0.095,0.095,1.0
claude-opus-4-1-20250805,simpleqa,Confidence-0.9,0.094,0.094,1.0
claude-opus-4-1-20250805,factscore,Bilateral,0.6451612903225806,0.248,0.5163120567375886
claude-opus-4-1-20250805,factscore,Unilateral-Forced,0.458,1.0,0.4398511781727986
claude-opus-4-1-20250805,factscore,Unilateral-Uncertain,0.42,1.0,0.29577464788732394
claude-opus-4-1-20250805,factscore,Confidence-0.5,0.577,1.0,0.42751113511143235
claude-opus-4-1-20250805,factscore,Confidence-0.7,0.084,0.172,0.4827067669172932
claude-opus-4-1-20250805,factscore,Confidence-0.9,0.081,0.168,0.4739229024943311
claude-opus-4-1-20250805,mmlupro,Bilateral,0.8979591836734694,0.147,0.8960347022490452
claude-opus-4-1-20250805,mmlupro,Unilateral-Forced,0.72,1.0,0.49919871794871795
claude-opus-4-1-20250805,mmlupro,Unilateral-Uncertain,0.348,0.546,0.4547160294562695
claude-opus-4-1-20250805,mmlupro,Confidence-0.5,0.102,1.0,0.09255898366606169
claude-opus-4-1-20250805,mmlupro,Confidence-0.7,0.0,0.0,0.0
claude-opus-4-1-20250805,mmlupro,Confidence-0.9,0.0,0.0,0.0
claude-3-5-haiku-20241022,truthfulqa,Bilateral,0.7664756446991404,0.698,0.7620681794892707
claude-3-5-haiku-20241022,truthfulqa,Unilateral-Forced,0.689,1.0,0.6793783644895244
claude-3-5-haiku-20241022,truthfulqa,Unilateral-Uncertain,0.203,0.249,0.8101127320954908
claude-3-5-haiku-20241022,truthfulqa,Confidence-0.5,0.74,1.0,0.7378768020969855
claude-3-5-haiku-20241022,truthfulqa,Confidence-0.7,0.645,0.859,0.7507971195245481
