Model,Dataset,Bilateral_F1,Bilateral_F1_Lower,Bilateral_F1_Upper,Bilateral_Acc,Bilateral_Cov,Verification_F1,Verification_F1_Lower,Verification_F1_Upper,Verification_Acc,Verification_Cov,Uncertain_F1,Uncertain_F1_Lower,Uncertain_F1_Upper,Uncertain_Acc,Uncertain_Cov
gemini-2.5-flash,truthfulqa,0.8075170223679913,0.7817861751252928,0.8347213416962497,0.8214527710378282,0.74003,0.728729137434412,0.7017630177447327,0.7539748260016947,0.7397099999999999,1.0,0.0,0.0,0.0,0.0,1.0
gemini-2.5-flash,factscore,0.602238624375121,0.5549857683354452,0.6470189544416288,0.6182742302084394,0.38223000000000007,0.5368037966320535,0.5105170051519291,0.568666736675266,0.55882,1.0,0.0,0.0,0.0,0.0,1.0
claude-3-5-haiku-20241022,simpleqa,0.7942375432734197,0.7620279168073162,0.8330957548377004,0.8346864474278354,0.6074100000000001,0.585754773555761,0.5545073160761764,0.6191305220292196,0.63659,1.0,0.0,0.0,0.0,0.0,1.0
claude-opus-4-1-20250805,simpleqa,0.9408798794632272,0.9152832304352847,0.9597226201111465,0.9550559489210325,0.44457,0.8879142850444598,0.8593766953204227,0.9191864773368873,0.9026657329656764,0.52666,0.0,0.0,0.0,0.0,1.0
llama-4-maverick,simpleqa,0.8418228885983254,0.7978859288004773,0.8688188572580371,0.8833415694573593,0.48577999999999993,0.7329242030844276,0.6982787065310369,0.7649550133466835,0.7599831423656819,0.7293,0.0,0.0,0.0,0.0,1.0
llama-4-scout,simpleqa,0.8979587143195917,0.8780040315206555,0.9161652537543404,0.8972604983375446,0.6099299999999999,0.6877432035540934,0.6577173190502068,0.7199711632832604,0.7067299999999999,1.0,0.0,0.0,0.0,0.0,1.0
claude-3-5-haiku-20241022,factscore,0.550570125371406,0.4894437974551621,0.6125859908862494,0.6239648365301617,0.27292,0.5297253093739323,0.5025622666885358,0.557282609622204,0.5603000000000001,1.0,0.0,0.0,0.0,0.0,1.0
llama-4-maverick,truthfulqa,0.8091385429506357,0.7782347826527473,0.8416023148068659,0.8129084074706796,0.6102799999999999,0.7101990806330553,0.6825461745958691,0.7402090865553347,0.7141184417410493,0.9198300000000001,0.0,0.0,0.0,0.0,1.0
gpt-4.1-mini-2025-04-14,simpleqa,0.8010958063491213,0.7724499356144117,0.8308511042296399,0.820965251058434,0.76423,0.7728939763815258,0.7487577794831306,0.8032515979272874,0.7710000000000001,1.0,0.0,0.0,0.0,0.0,1.0
llama-4-scout,factscore,0.4222546498656737,0.3851502959623268,0.4649394497155645,0.6097832551489393,0.30977,0.5527877840585755,0.5215112218428954,0.5856075280004331,0.5715559566958073,0.99274,0.0,0.0,0.0,0.0,1.0
gpt-4.1-2025-04-14,simpleqa,0.822361594565903,0.7994385886599988,0.8435889798026535,0.8325881014625497,0.84476,0.8018106100390114,0.7824470739484848,0.8243818941738112,0.8022300000000001,1.0,0.0,0.0,0.0,0.0,1.0
llama-4-maverick,factscore,0.49465538917039353,0.4373801098168704,0.5698320817688777,0.6353017888572953,0.21646000000000004,0.5859388361282231,0.547447103100569,0.6282588431765881,0.5847441190257316,0.48,0.0,0.0,0.0,0.0,1.0
claude-opus-4-1-20250805,factscore,0.5131057033332282,0.4573920977512404,0.5696647464134182,0.643717458228172,0.24673,0.5544750664035647,0.5241400929371566,0.5913310795852433,0.5771761804230611,0.8522599999999998,0.0,0.0,0.0,0.0,1.0
gemini-2.5-flash,mmlupro,0.7098239275383713,0.6773084594875695,0.7420498639501444,0.7440425422145149,0.78777,0.7211492245894658,0.6913059803990357,0.746093867107891,0.72464,1.0,0.0,0.0,0.0,0.0,1.0
gpt-4.1-2025-04-14,factscore,0.628238283379922,0.5797354800334311,0.6747642389130909,0.662295954978353,0.3906099999999999,0.5614890083855582,0.5288576529099652,0.5905805482331994,0.5815700000000001,1.0,0.0,0.0,0.0,0.0,1.0
gpt-4.1-mini-2025-04-14,mmlupro,0.7795792737728213,0.7484082159491747,0.808077434712018,0.7794328886621636,0.7354099999999998,0.7082335581326445,0.6730625261946076,0.7413374600681087,0.70949,1.0,0.0,0.0,0.0,0.0,1.0
claude-3-5-haiku-20241022,truthfulqa,0.761478996729699,0.7280442664108979,0.7942337003349373,0.7661387656990586,0.69821,0.6907050749028025,0.6646433997579723,0.7226035019094833,0.70158,1.0,0.0,0.0,0.0,0.0,1.0
claude-3-5-haiku-20241022,mmlupro,0.6861898895236866,0.6516691476827083,0.7198567480394376,0.6960523468177762,0.7376600000000001,0.6602250298623429,0.6299668182708582,0.6921024690833645,0.6618200000000001,1.0,0.0,0.0,0.0,0.0,1.0
gemini-2.5-flash,simpleqa,0.5327542654484662,0.4950288164076777,0.5740506438888466,0.6949003597975653,0.7461599999999998,0.7323689160475498,0.7024380839045568,0.7604358313315405,0.74546,1.0,0.0,0.0,0.0,0.0,1.0
gpt-4.1-2025-04-14,mmlupro,0.7671054067937435,0.7372029656785917,0.7999772306390427,0.7775183913419766,0.8014800000000001,0.740348727379239,0.710606533854707,0.7628391693712719,0.74234,1.0,0.0,0.0,0.0,0.0,1.0
llama-4-scout,truthfulqa,0.7597371658687997,0.7293560974295453,0.788333196716672,0.7605609989246875,0.6829500000000002,0.6762838835046644,0.6497198347464505,0.7028079221516079,0.6869950243849516,0.9980899999999999,0.0,0.0,0.0,0.0,1.0
claude-opus-4-1-20250805,mmlupro,0.8912308061786075,0.8465821106901015,0.9442684601235054,0.8994692602640787,0.14956999999999998,0.859136040415045,0.8097461484364421,0.9035818753990567,0.8660244812719325,0.16061999999999999,0.0,0.0,0.0,0.0,1.0
gpt-4.1-mini-2025-04-14,factscore,0.5727579479991535,0.5294166308497821,0.6161688706317227,0.624334861036324,0.38895000000000013,0.5542141246792607,0.5230678069536057,0.5834799428138928,0.5636099999999999,1.0,0.0,0.0,0.0,0.0,1.0
gpt-4.1-2025-04-14,truthfulqa,0.8632845231822693,0.8433696645962303,0.8855198070886722,0.8650025703364196,0.76972,0.7792320301861275,0.7521030531316066,0.8061553964944733,0.78585,1.0,0.0,0.0,0.0,0.0,1.0
gpt-4.1-mini-2025-04-14,truthfulqa,0.866758178489112,0.8500006105616135,0.8877906901595519,0.8673628282295184,0.73571,0.7844848851395263,0.7583216839220358,0.8057389306314077,0.78393,1.0,0.0,0.0,0.0,0.0,1.0
claude-opus-4-1-20250805,truthfulqa,0.8958594867766818,0.8737673623090622,0.9143775101524516,0.8976410170091831,0.7258899999999998,0.7901922855991065,0.7659438719030716,0.8164131241124144,0.7930599071848516,0.9684100000000001,0.0,0.0,0.0,0.0,1.0
llama-4-maverick,mmlupro,0.8499618288769364,0.8043446122730109,0.8835741635298179,0.8557692784508016,0.36751999999999996,0.7648409175653288,0.7383594888891599,0.8041985880830005,0.7734132673740484,0.53577,0.0,0.0,0.0,0.0,1.0
llama-4-scout,mmlupro,0.7476615887356367,0.7159301543911507,0.7808954279693614,0.7499310295963818,0.4788799999999999,0.6925690660302696,0.6643178542243209,0.7294182822411828,0.6926538961438156,0.7589200000000002,0.0,0.0,0.0,0.0,1.0
